#gen	min	avg
0	204	279,0
1	204	265,575
2	204	257,125
3	204	259,65
4	204	254,375
5	204	249,1
6	204	243,2
7	202	234,725
8	202	239,35
9	191	228,95
10	188	223,7
11	178	223,0
12	178	222,725
13	178	227,4
14	178	228,425
15	178	219,125
16	178	219,4
17	178	216,775
18	144	216,7
19	144	211,6
20	144	217,325
21	144	211,625
22	144	212,025
23	144	208,35
24	144	205,95
25	133	197,75
26	133	199,15
27	133	194,275
28	133	190,425
29	133	186,3
30	133	187,75
31	133	184,8
32	133	187,65
33	133	188,5
34	133	177,925
35	133	182,975
36	133	182,675
37	133	178,35
38	133	179,1
39	133	179,7
40	133	178,95
41	133	183,8
42	133	185,025
43	133	176,225
44	133	180,35
45	133	173,45
46	133	173,8
47	133	182,425
48	133	177,55
49	133	177,325
50	133	178,9
51	133	187,625
52	133	175,775
53	133	188,1
54	133	184,725
55	133	176,15
56	133	166,425
57	133	179,475
58	133	176,925
59	133	173,225
60	133	174,55
61	133	181,2
62	133	181,3
63	133	173,525
64	133	177,5
65	133	174,6
66	133	175,675
67	133	169,9
68	133	174,15
69	133	171,725
70	133	177,275
71	133	174,05
72	133	180,6
73	133	176,0
74	133	171,425
75	128	162,4
76	128	174,575
77	128	171,825
78	128	180,325
79	128	176,525
80	128	178,05
81	128	178,9
82	128	176,7
83	128	182,1
84	128	173,95
85	128	184,35
86	128	183,1
87	128	188,1
88	128	185,175
best route:
Brasília -> Belo Horizonte -> Rio de Janeiro -> São Paulo -> Porto Alegre -> Salvador -> Santiago -> Lima -> Bogotá -> Caracas -> Brasília
with total distance: 128
