#gen	min	avg
0	170	276,6
1	170	255,725
2	170	241,225
3	170	253,55
4	170	233,2
5	170	253,675
6	170	265,6
7	170	245,875
8	170	242,1
9	170	246,85
10	170	248,7
11	165	244,25
12	165	242,425
13	165	228,7
14	165	234,375
15	165	237,025
16	146	240,225
17	146	241,05
18	146	231,025
19	146	224,6
20	146	219,625
21	144	217,8
22	144	215,525
23	144	225,05
24	144	223,825
25	144	225,4
26	144	236,525
27	144	243,425
28	144	255,675
29	144	239,575
30	144	254,25
31	144	224,525
32	144	218,025
33	144	220,0
34	144	229,425
35	144	224,55
36	144	240,875
37	144	238,55
38	144	229,825
39	144	238,55
40	144	251,975
41	144	243,275
42	144	250,35
43	144	238,35
44	144	240,425
45	144	234,375
46	144	223,6
47	144	234,15
48	144	222,425
49	144	220,125
50	144	234,925
51	144	213,2
52	144	210,6
53	144	212,325
54	144	213,825
55	144	203,425
56	144	209,9
57	144	201,775
58	144	201,1
59	144	206,5
60	144	220,625
61	144	226,8
62	144	244,65
63	144	219,175
64	144	212,725
65	144	209,775
66	144	219,5
67	144	226,525
68	144	209,525
69	144	195,625
70	144	195,725
71	144	200,25
72	144	203,675
73	144	206,35
74	144	206,9
75	144	196,325
76	144	195,8
77	144	193,875
78	144	219,375
79	144	235,55
80	144	220,8
81	144	239,325
82	144	225,1
83	144	236,15
84	144	229,35
85	144	223,25
86	144	217,85
87	144	233,975
88	144	230,225
89	144	230,025
90	144	207,675
91	144	228,975
92	144	230,675
93	144	221,95
94	144	206,85
95	144	209,9
96	144	225,125
97	144	221,7
98	144	210,575
99	144	215,875
100	144	223,3
101	144	220,85
102	144	230,075
103	144	224,75
104	144	226,45
105	144	236,125
106	144	235,5
107	144	235,5
108	144	218,975
109	144	213,75
110	144	195,8
111	144	228,875
112	144	212,725
113	144	224,45
114	144	220,35
115	144	217,625
116	144	224,025
117	144	222,025
118	144	227,675
119	144	210,2
120	144	209,6
121	144	225,75
122	144	223,175
123	144	217,7
124	144	226,6
125	144	251,275
126	144	238,125
127	144	249,225
128	144	227,0
129	144	224,475
130	144	219,4
131	144	231,425
132	144	224,2
133	144	226,55
