#gen	min	avg
0	172	264,275
1	172	254,375
2	172	245,075
3	172	242,125
4	172	233,675
5	172	227,55
6	172	227,4
7	172	229,425
8	172	219,825
9	172	221,1
10	172	215,525
11	172	216,05
12	172	217,025
13	172	216,2
14	172	213,35
15	172	208,575
16	172	206,925
17	172	206,1
18	172	202,15
19	172	203,275
20	172	202,875
21	167	202,3
22	167	203,45
23	167	200,325
24	167	201,275
25	167	197,0
26	167	190,225
27	167	191,275
28	167	194,075
29	167	195,425
30	167	201,825
31	167	201,875
32	165	189,725
33	165	189,125
34	165	184,15
35	165	189,775
36	165	188,775
37	165	187,75
38	165	185,35
39	165	194,7
40	165	192,4
41	165	193,9
42	165	191,85
43	165	185,55
44	165	185,725
45	165	185,325
46	165	180,8
47	165	186,6
48	165	182,625
49	165	183,35
50	165	182,625
51	165	182,225
52	165	182,725
53	165	179,5
54	165	185,225
55	164	179,625
56	164	187,225
57	164	185,9
58	164	183,8
59	164	182,275
60	164	185,15
61	164	184,425
62	164	182,4
63	164	180,95
64	164	181,8
65	164	192,35
66	164	187,475
67	164	177,325
68	164	182,65
69	164	180,425
70	164	180,0
71	164	183,075
72	164	182,45
73	164	187,275
74	164	179,275
75	164	177,0
76	164	188,325
77	164	185,5
78	164	183,9
79	164	188,35
80	164	178,925
81	164	181,5
82	164	178,275
83	152	194,675
84	152	190,725
85	152	188,925
86	152	185,35
87	152	188,875
88	152	187,275
89	152	183,35
90	152	180,775
91	152	179,3
92	152	178,325
93	152	184,375
94	152	178,1
95	152	173,425
96	152	172,225
97	152	173,6
98	152	178,65
99	152	170,125
100	152	173,85
101	152	173,675
102	152	186,95
103	152	184,45
104	152	180,75
105	152	187,25
106	152	179,925
107	152	180,25
108	152	173,175
109	152	175,85
110	152	179,05
111	152	177,95
112	152	177,55
113	152	175,175
114	145	180,75
115	145	173,875
116	145	186,625
117	145	173,0
118	145	171,225
119	145	178,9
120	145	173,125
121	145	179,225
122	145	171,225
123	145	172,675
124	145	181,95
125	145	181,15
126	145	179,65
127	145	182,325
128	145	182,75
129	145	176,925
130	145	180,55
131	133	169,0
132	133	170,525
133	133	165,775
134	133	171,925
135	133	171,925
136	133	171,1
137	133	167,7
138	133	169,875
139	133	173,3
140	133	176,5
141	133	171,725
142	133	171,15
143	133	169,45
144	133	172,475
145	133	169,4
146	133	169,825
147	133	165,275
148	133	166,275
149	133	166,525
150	133	192,9
151	133	188,25
152	133	183,65
153	128	177,525
154	128	167,725
155	128	171,15
156	128	168,125
157	128	166,05
158	128	162,175
159	128	161,05
160	128	171,15
