#gen	min	avg
0	196	270.25
1	174	244.55
2	174	236.35
3	174	226.975
4	174	228.4
5	174	220.525
6	174	223.65
7	174	215.8
8	174	211.65
9	174	218.45
10	174	211.675
11	171	207.725
12	166	199.75
13	166	197.075
14	161	198.725
15	161	195.1
16	161	195.3
17	161	199.925
18	161	191.925
19	161	197.2
20	161	202.925
21	161	200.25
22	161	186.1
23	161	187.6
24	161	195.725
25	161	194.925
26	161	194.275
27	161	192.55
28	161	193.3
29	161	193.5
30	161	196.575
31	161	190.925
32	161	191.475
33	161	194.775
34	161	192.275
35	161	188.525
36	161	193.3
37	160	194.075
38	160	188.325
39	160	197.65
40	160	194.275
41	160	193.825
42	160	197.125
43	160	185.55
44	160	194.325
45	160	193.55
46	150	193.9
47	150	189.025
48	150	194.275
49	150	202.35
50	150	197.225
51	150	192.675
52	145	192.625
53	145	185.925
54	145	187.25
55	145	189.075
56	145	192.675
57	144	184.175
58	144	182.675
59	144	186.0
60	144	193.425
61	144	187.8
62	144	187.85
63	144	187.1
64	144	191.875
65	144	185.425
66	141	191.9
67	141	182.3
68	141	192.7
69	141	190.5
70	136	177.425
71	136	181.45
72	136	187.85
73	136	182.375
74	136	185.35
75	136	191.175
76	136	181.1
77	136	188.075
78	136	178.55
79	136	175.725
80	136	181.525
81	136	176.675
82	136	182.475
83	136	179.35
84	136	185.45
85	136	183.625
86	136	194.075
87	136	179.9
88	136	182.25
89	136	179.2
90	136	174.225
91	136	183.65
92	136	187.7
93	136	177.775
94	136	179.2
95	136	176.65
96	136	178.875
97	136	184.65
98	136	177.225
99	136	180.725
100	136	190.25
101	136	174.6
102	136	176.9
103	136	178.1
104	136	178.1
105	136	187.675
106	136	181.8
107	136	177.0
108	136	176.85
109	136	182.85
110	136	182.725
111	136	181.325
112	136	173.7
113	136	178.7
114	136	173.5
115	136	181.375
116	136	180.925
117	136	177.1
118	136	177.125
119	136	176.725
120	136	181.3
121	128	178.675
122	128	175.775
123	128	179.75
124	128	177.825
125	128	179.675
126	128	174.125
127	128	178.325
128	128	172.475
129	128	176.775
130	128	184.3
131	128	181.825
132	128	184.025
133	128	165.5
134	128	174.125
135	128	176.675
136	128	179.4
137	128	169.825
138	128	172.225
139	128	172.7
140	128	174.075
141	128	181.4
142	128	169.7
143	128	168.375
144	128	177.05
145	128	169.45
146	128	179.625
147	128	173.675
148	128	177.025
149	128	170.45
150	128	178.775
151	128	173.625
152	128	175.7
153	128	180.45
154	128	183.525
155	128	180.95
156	128	184.225
157	128	173.325
158	128	172.325
159	128	176.45
160	128	181.975
161	128	181.1
162	128	169.825
163	128	180.05
164	128	174.425
165	128	176.125
166	128	176.025
167	128	171.65
168	128	178.9
169	128	167.95
170	128	175.4
171	128	178.95
172	128	174.175
173	128	173.2
174	128	174.05
175	128	169.725
176	128	168.875
177	128	170.0
178	128	173.75
179	128	170.6
180	128	185.65
181	128	172.8
182	128	182.4
183	128	177.15
184	128	168.75
185	128	178.25
186	128	179.325
187	128	181.5
188	128	177.375
189	128	171.825
190	128	176.7
191	128	166.95
192	128	173.4
193	128	176.725
194	128	183.2
195	128	178.95
196	128	167.475
197	128	172.925
198	128	177.2
199	128	172.725
200	128	181.725
201	128	174.075
202	128	172.875
203	128	171.85
204	128	183.675
