#gen	min	avg
0	203	273,525
1	187	251,65
2	187	241,7
3	182	233,0
4	182	237,025
5	182	231,625
6	182	222,775
7	182	217,975
8	171	212,7
9	171	207,6
10	171	210,45
11	171	204,7
12	171	216,975
13	171	201,225
14	166	207,05
15	166	204,0
16	166	201,175
17	166	202,375
18	166	197,85
19	166	195,075
20	166	192,65
21	166	201,05
22	166	206,275
23	163	200,35
24	163	196,475
25	161	194,55
26	161	197,9
27	161	195,625
28	161	199,0
29	161	202,675
30	161	198,95
31	161	202,6
32	138	192,3
33	138	199,1
34	138	194,525
35	138	199,0
36	138	189,325
37	138	197,65
38	138	193,425
39	136	188,025
40	136	185,9
41	136	192,075
42	136	183,4
43	136	188,025
44	136	188,05
45	136	186,75
46	136	179,325
47	136	186,1
48	136	186,975
49	136	194,35
50	128	191,825
51	128	185,7
52	128	182,925
53	128	186,425
54	128	187,925
55	128	186,6
56	128	178,375
57	128	184,075
58	128	179,225
59	128	178,425
60	128	178,275
61	128	183,275
62	128	185,075
63	128	185,35
64	128	179,625
65	128	182,125
66	128	181,375
67	128	180,625
68	128	176,075
69	128	174,9
70	128	178,425
71	128	180,675
72	128	185,875
73	128	185,6
74	128	182,825
75	128	175,975
76	128	180,575
77	128	183,0
78	128	176,15
79	128	191,25
80	128	185,05
81	128	182,0
82	128	192,45
83	128	173,275
84	128	184,875
85	128	181,05
86	128	184,85
87	128	177,075
88	128	171,4
89	128	176,725
90	128	179,325
91	128	181,875
92	128	188,55
93	128	177,125
94	128	174,375
95	128	172,3
96	128	178,75
97	128	165,825
98	128	183,925
99	128	173,825
100	128	174,15
101	128	170,2
102	128	170,1
103	128	167,4
104	128	176,35
105	128	172,075
106	128	171,125
107	128	174,725
108	128	174,2
109	128	174,875
110	128	168,625
111	128	176,1
112	128	170,975
113	128	178,675
114	128	178,475
115	128	179,275
116	128	176,225
117	128	169,85
118	128	177,475
119	128	167,175
120	128	177,125
121	128	172,775
122	128	174,05
123	128	183,075
124	128	173,55
125	128	182,675
126	128	173,5
127	128	172,975
128	128	176,525
129	128	172,825
130	128	176,7
131	128	175,5
132	128	175,225
133	128	168,7
134	128	180,325
135	128	180,5
136	128	173,8
137	128	178,4
138	128	174,325
139	128	177,475
140	128	171,15
141	128	182,425
142	128	171,675
143	128	179,7
144	128	167,275
145	128	169,0
146	128	172,3
147	128	171,75
148	128	172,675
149	128	176,025
150	128	171,775
151	128	173,675
152	128	172,65
153	128	172,65
154	128	181,4
155	128	176,15
156	128	180,45
157	128	176,375
158	128	175,075
159	128	178,175
160	128	173,95
161	128	171,05
162	128	175,925
163	128	168,95
164	128	173,2
165	128	175,775
166	128	170,775
167	128	175,35
168	128	174,5
169	128	169,525
170	128	175,8
171	128	173,85
172	128	171,625
173	128	180,075
174	128	174,775
175	128	177,05
176	128	162,3
177	128	173,0
178	128	174,45
179	128	169,475
180	128	174,125
181	128	173,3
182	128	174,45
183	128	179,15
184	128	176,0
185	128	176,125
186	128	183,175
187	128	181,725
188	128	180,2
189	128	173,4
190	128	162,725
191	128	176,8
192	128	171,175
193	128	170,425
194	128	182,375
195	128	178,875
196	128	178,425
197	128	179,925
198	128	166,575
199	128	170,825
200	128	162,2
201	128	173,4
202	128	177,3
203	128	179,65
204	128	176,725
205	128	172,35
206	128	176,2
207	128	180,75
208	128	178,425
209	128	175,6
210	128	178,225
211	128	172,975
212	128	172,1
213	128	178,45
214	128	169,95
215	128	161,375
216	128	177,025
217	128	176,85
218	128	177,225
219	128	177,9
220	128	167,8
221	128	167,825
222	128	175,75
223	128	175,6
224	128	172,575
225	128	175,475
226	128	178,775
227	128	171,375
228	128	172,65
229	128	182,225
230	128	168,875
231	128	166,975
232	128	179,725
233	128	167,95
234	128	172,25
235	128	179,95
236	128	171,9
237	128	176,65
238	128	172,725
239	128	173,8
240	128	175,325
241	128	172,9
242	128	172,675
243	128	178,325
244	128	184,8
245	128	174,325
246	128	175,55
247	128	176,55
248	128	166,15
249	128	165,4
250	128	169,275
best route:
Brasília -> Caracas -> Bogotá -> Lima -> Santiago -> Salvador -> Porto Alegre -> São Paulo -> Rio de Janeiro -> Belo Horizonte -> Brasília
with total distance: 128
