#gen	min	avg
0	180	265,455
1	176	247,91
2	175	235,135
3	175	234,455
4	175	229,6
5	157	227,65
6	157	222,26
7	155	219,4
8	155	218,805
9	155	212,145
10	155	209,11
11	155	211,89
12	155	207,96
13	155	206,11
14	148	203,52
15	148	204,945
16	148	200,01
17	148	199,215
18	146	200,005
19	146	197,01
20	146	195,235
21	145	194,14
22	145	194,785
23	145	192,69
24	136	192,175
25	136	194,295
26	136	194,71
27	136	194,91
28	136	192,02
29	136	187,485
30	136	189,515
31	136	186,585
32	136	190,81
33	136	189,375
34	136	185,88
35	136	187,715
36	128	191,9
37	128	188,215
38	128	185,835
39	128	188,075
40	128	188,565
41	128	187,335
42	128	184,84
43	128	187,925
44	128	187,1
45	128	186,865
46	128	182,175
47	128	184,795
48	128	184,065
49	128	182,945
50	128	186,82
51	128	184,625
52	128	184,575
53	128	181,495
54	128	182,615
55	128	184,74
56	128	184,54
57	128	186,5
58	128	185,315
best route:
Brasília -> Caracas -> Bogotá -> Lima -> Santiago -> Salvador -> Porto Alegre -> São Paulo -> Rio de Janeiro -> Belo Horizonte -> Brasília
with total distance: 128
