#gen	min	avg
0	221	274,375
1	161	246,175
2	161	235,85
3	161	232,425
4	161	233,6
5	161	216,625
6	161	214,45
7	161	212,15
8	161	211,05
9	161	212,125
10	161	199,875
11	161	206,475
12	161	201,9
13	161	197,55
14	160	191,4
15	160	195,45
16	144	201,9
17	144	197,925
18	144	188,7
19	144	183,125
20	144	190,35
21	144	193,025
22	144	199,825
23	144	185,0
24	144	194,975
25	144	192,175
26	144	195,75
27	144	197,75
28	144	196,075
29	144	187,575
30	144	184,25
31	144	185,125
32	144	190,675
33	144	190,975
34	144	185,4
35	144	193,875
36	144	186,05
37	144	184,825
38	144	187,95
39	144	179,65
40	144	184,45
41	144	191,225
42	144	177,95
43	144	181,575
44	144	181,475
45	144	178,3
46	144	189,575
47	144	181,4
48	144	188,55
49	144	199,125
50	144	179,35
51	144	176,125
52	144	184,075
53	144	190,55
54	144	188,025
55	144	173,675
56	144	182,875
57	144	186,225
58	144	188,75
59	144	182,875
60	144	181,4
61	144	184,275
62	144	192,875
63	144	185,375
64	144	172,125
65	144	187,05
66	144	182,425
67	144	181,0
68	144	182,625
69	144	183,2
70	144	182,0
71	144	177,7
72	144	178,825
73	144	179,8
74	144	180,975
75	144	186,85
76	144	180,375
77	144	185,5
78	144	174,45
79	144	179,875
80	144	178,525
81	144	170,725
82	144	182,625
83	144	179,0
84	144	187,15
85	144	183,575
86	144	173,175
87	144	176,775
88	144	177,525
89	144	187,275
90	144	186,0
91	144	174,225
92	144	176,35
93	144	179,225
94	144	181,0
95	144	182,925
96	144	183,025
97	144	189,0
98	144	183,95
99	144	180,075
100	144	180,55
101	144	176,2
102	144	176,725
103	144	171,05
104	144	180,025
105	144	176,45
106	144	183,275
107	144	179,7
108	144	184,55
109	144	174,475
110	144	182,275
111	144	179,3
112	144	176,925
113	144	183,15
114	144	176,0
115	144	179,4
116	144	177,7
117	144	177,05
118	144	173,375
119	144	183,05
120	144	191,125
121	144	182,9
122	144	180,55
123	144	181,05
124	144	183,4
125	144	188,125
126	144	178,2
127	144	182,375
128	144	182,5
129	144	175,025
130	144	173,45
131	144	185,85
132	144	189,1
133	144	180,125
134	144	178,45
135	144	183,6
136	144	181,375
137	144	173,875
138	144	185,375
139	144	183,8
140	144	181,025
141	144	181,425
142	144	174,725
143	144	179,7
144	144	185,075
145	144	173,55
146	144	181,05
147	144	183,925
148	144	178,6
149	144	186,725
150	144	179,025
151	144	176,45
152	144	192,5
153	144	182,3
154	144	184,6
155	144	184,35
156	144	176,95
157	144	182,225
158	144	180,15
159	144	174,425
160	144	180,175
161	144	181,75
162	144	174,775
163	144	181,35
164	144	184,225
165	144	190,975
166	144	180,7
167	144	175,0
168	144	187,1
169	144	171,075
170	144	176,3
171	144	181,9
172	144	171,475
173	144	184,9
174	144	181,8
175	144	180,4
176	144	170,3
177	144	172,45
178	144	180,725
179	144	178,625
180	144	192,325
181	144	181,225
182	144	182,775
183	144	179,15
184	144	178,475
185	144	173,15
186	144	184,65
187	144	181,0
188	144	175,625
189	144	176,275
190	144	181,3
191	144	174,1
192	144	176,5
193	144	179,175
194	144	177,375
195	144	178,35
196	144	182,2
197	144	185,55
198	144	178,225
199	144	177,575
200	144	176,35
201	144	178,1
202	144	180,475
203	144	183,125
204	144	180,45
205	144	183,6
206	144	169,9
207	144	179,425
208	144	178,3
209	144	177,225
210	144	185,4
211	144	181,225
212	144	184,475
213	144	172,475
214	144	179,35
215	144	188,575
216	144	190,825
217	144	174,375
218	144	179,825
219	144	178,075
220	144	178,85
221	144	185,925
222	144	180,075
223	144	177,7
224	144	173,775
225	144	182,8
226	144	184,525
227	144	178,15
228	144	182,475
229	144	179,1
230	144	179,75
231	144	189,0
232	144	180,6
233	144	181,15
234	144	184,75
235	144	185,5
236	144	185,15
237	144	190,925
238	144	187,25
239	144	186,125
240	144	187,2
241	144	180,825
242	144	182,575
243	144	181,8
244	144	182,85
245	144	179,575
246	144	179,9
247	144	185,1
248	144	178,0
249	144	178,05
250	144	181,25
251	144	175,825
252	144	183,975
253	144	175,475
254	144	186,125
255	144	185,75
256	144	174,35
257	144	175,175
258	144	191,975
259	144	174,225
260	144	180,625
261	144	173,575
262	144	184,675
263	144	180,825
264	144	179,05
265	144	178,225
266	144	175,775
267	144	191,6
268	144	182,925
269	144	186,75
270	144	179,775
271	144	185,2
272	144	179,65
273	144	175,3
274	144	178,125
275	144	182,175
276	144	176,475
277	144	180,35
278	144	181,925
279	144	177,525
280	144	178,625
281	144	176,7
282	144	180,75
283	144	180,35
284	144	182,925
285	144	183,075
286	144	176,55
287	144	171,15
288	144	173,125
289	144	178,95
290	144	180,95
291	144	177,025
292	144	176,775
293	144	183,2
294	144	184,85
295	144	182,15
296	144	183,85
297	144	182,525
298	144	194,05
299	144	186,6
300	144	185,975
301	144	177,8
302	144	173,7
303	144	182,35
304	144	181,4
305	144	177,95
306	144	174,7
307	144	179,725
308	144	176,7
309	144	185,075
310	144	180,675
311	144	182,625
312	144	179,1
313	144	186,475
314	144	177,45
315	144	181,375
316	144	182,85
317	144	181,95
318	144	181,4
319	144	178,75
320	144	180,675
321	144	179,275
322	144	179,175
323	144	186,0
324	144	180,35
325	144	179,55
326	144	179,075
327	144	176,275
328	144	170,825
329	144	171,9
330	144	180,35
331	144	176,075
332	144	177,4
333	144	180,525
334	144	180,775
335	144	185,25
336	144	177,025
337	144	178,25
338	144	181,0
339	144	181,325
340	144	186,575
341	144	184,825
342	144	180,475
343	144	176,825
344	144	176,4
345	144	187,175
346	144	188,125
347	144	183,475
348	144	178,575
349	144	177,225
350	144	182,6
351	144	182,775
352	144	178,85
353	144	174,4
354	144	178,675
355	144	173,3
356	144	177,925
357	144	187,2
358	144	182,1
359	144	187,575
360	144	189,45
361	144	176,85
362	144	174,775
363	144	176,875
364	144	182,6
365	144	177,5
366	144	175,4
367	144	174,6
368	144	180,775
369	144	184,375
370	144	183,025
371	144	178,175
372	144	173,35
373	144	181,475
374	144	175,275
375	144	173,3
376	144	180,05
377	144	176,875
378	144	184,65
379	144	184,55
380	144	184,125
381	144	181,125
382	144	172,125
383	144	180,85
384	144	183,1
385	144	186,475
386	144	184,15
387	144	174,65
388	144	173,775
389	144	177,95
390	144	182,775
391	144	175,05
392	144	180,2
393	144	179,825
394	144	181,825
395	144	177,625
396	144	178,9
397	144	182,775
398	144	174,6
399	144	174,875
400	144	180,925
401	144	183,5
402	144	180,025
403	144	180,975
404	144	186,9
405	144	184,2
406	144	177,375
407	144	178,425
408	144	182,475
409	144	179,8
410	144	176,95
411	144	174,45
412	144	180,875
413	144	173,425
414	144	179,175
415	144	178,175
416	144	184,6
417	144	179,15
418	144	188,45
419	144	187,875
420	144	175,7
421	144	181,25
422	144	172,75
423	144	179,85
424	144	169,65
425	144	176,2
426	144	176,95
427	144	181,125
428	144	185,05
429	144	177,725
430	144	173,325
431	144	173,575
432	144	176,125
433	144	176,725
434	144	179,375
435	144	176,175
436	144	174,75
437	144	180,6
438	144	179,0
439	144	179,825
440	144	185,0
441	144	173,9
442	144	179,6
443	144	177,4
444	144	181,85
445	144	177,625
446	144	172,075
447	144	179,425
448	144	184,025
449	144	174,45
450	144	177,9
451	144	170,05
452	144	174,85
453	144	175,8
454	144	180,25
455	144	172,525
456	144	174,7
457	144	176,775
458	144	175,125
459	144	177,55
460	144	181,225
461	144	182,075
462	144	181,075
463	144	178,8
464	144	178,375
465	144	172,25
466	144	172,85
467	144	172,35
468	144	179,55
469	144	183,55
470	144	189,325
471	144	189,125
472	144	178,55
473	144	180,525
474	144	173,975
475	144	178,775
476	144	189,325
477	144	181,55
478	144	176,7
479	144	178,6
480	144	184,175
481	144	172,375
482	144	182,2
483	144	181,0
484	144	178,325
485	144	179,7
486	144	181,6
487	144	178,425
488	144	179,05
489	144	185,1
490	144	183,1
491	144	178,8
492	144	183,4
493	144	172,775
494	144	175,975
495	144	180,3
496	144	178,45
497	144	177,325
498	144	174,975
499	144	177,8
500	144	177,575
501	144	175,675
502	144	174,25
503	144	175,325
504	144	180,3
505	144	175,3
506	144	180,675
507	144	174,875
508	144	185,425
509	144	185,7
510	144	183,925
511	144	176,45
512	144	178,6
513	144	182,05
514	144	186,625
515	144	182,225
516	144	171,225
517	144	177,775
518	144	177,475
519	144	172,95
520	144	187,275
521	144	172,3
522	144	175,675
523	144	176,9
524	144	185,525
525	144	180,25
526	144	184,175
527	144	180,025
528	144	177,175
529	144	176,95
530	144	178,225
531	144	179,3
532	144	182,65
533	144	184,85
534	144	181,025
535	144	181,95
536	144	179,9
537	144	179,85
538	144	176,775
539	144	173,75
540	144	183,875
541	144	177,4
542	144	182,5
543	144	185,25
544	144	173,575
545	144	174,0
546	144	178,675
547	144	183,725
548	144	183,65
549	144	188,275
550	144	183,0
551	144	180,475
552	144	184,9
553	144	182,2
554	144	180,1
555	144	180,375
556	144	179,25
557	144	171,425
558	144	185,875
559	144	184,45
560	144	177,15
561	144	182,55
562	144	180,6
563	144	183,4
